Ticker,Seq,Model,Med_R2,ROI_%,Sharpe,B&H_%
MSFT,5,V1 Price-Only,0.9795904397064472,35.014249052899096,1.8799257886379117,65.92646871855135
MSFT,5,V1 Baseline,0.9723646736344137,24.854501516886774,1.7931041991078147,65.92646871855135
MSFT,5,V2 Attention,0.9703350872439144,24.48658093409486,1.781669979639998,65.92646871855135
MSFT,5,V2 No-Attention,0.9664514331897477,6.8890683109629425,1.4385634887825454,65.92646871855135
MSFT,10,V1 Price-Only,0.9653538031999287,59.0498956133511,2.323728966545294,56.79310098148822
MSFT,10,V1 Baseline,0.9618102762798371,22.096808567980396,1.7012348088498792,56.79310098148822
MSFT,10,V2 Attention,0.9705807432874487,30.16517585949512,2.1479923160680143,56.79310098148822
MSFT,10,V2 No-Attention,0.9759529633638302,18.80755139176975,1.502330938943027,56.79310098148822
MSFT,20,V1 Price-Only,0.9422861642203115,10.966157134626474,1.1479295117780826,52.0730382625606
MSFT,20,V1 Baseline,0.9680403255388896,15.306048594611731,1.2422973316908927,52.0730382625606
MSFT,20,V2 Attention,0.9546724741393771,59.2003515880563,2.4322029545176886,52.0730382625606
MSFT,20,V2 No-Attention,0.9733420960453854,17.606720401748554,1.6600493449090856,52.0730382625606
DIS,5,V1 Price-Only,0.8981632777738454,-9.591731416308658,-0.2938120235066119,-2.5853129969759414
DIS,5,V1 Baseline,0.8995860255188793,-24.273272058644757,-1.0918764415534967,-2.5853129969759414
DIS,5,V2 Attention,0.8854995629267651,-8.596047418854102,-0.24703824143899097,-2.5853129969759414
DIS,5,V2 No-Attention,0.9168708845171899,-7.562867832451259,-0.18993020837340266,-2.5853129969759414
DIS,10,V1 Price-Only,0.8820027755010174,-7.989975726530918,-0.24904167377083375,-7.596941092424448
DIS,10,V1 Baseline,0.8923618525978275,-12.862845055040427,-0.4991216265470702,-7.596941092424448
DIS,10,V2 Attention,0.9123217177520369,0.7720812154606183,0.14887852882007713,-7.596941092424448
DIS,10,V2 No-Attention,0.8716889058630763,-19.681963808194357,-0.839424122987942,-7.596941092424448
DIS,20,V1 Price-Only,0.8705815007238329,-22.646916150758713,-1.0212880109210316,-14.90469222512073
DIS,20,V1 Baseline,0.8973460575007246,-30.181119184963336,-1.5568168915586473,-14.90469222512073
DIS,20,V2 Attention,0.8831895101459398,6.146405110736275,0.4269756763574722,-14.90469222512073
DIS,20,V2 No-Attention,0.846446951703438,-16.918812414386654,-0.7351972221935457,-14.90469222512073
WMT,5,V1 Price-Only,0.9096613192523515,-6.573287719500387,-1.6982469846427173,8.424379233246505
WMT,5,V1 Baseline,0.9249768677933934,2.436823711304892,0.3262984140814515,8.424379233246505
WMT,5,V2 Attention,0.9146584169260745,0.4275332183266034,0.12235871175891279,8.424379233246505
WMT,5,V2 No-Attention,0.9210138238604774,3.477794625947328,0.5653412019101459,8.424379233246505
WMT,10,V1 Price-Only,0.7894757735146163,0.0,0.0,8.82980806272775
WMT,10,V1 Baseline,0.8968253636951311,-1.4951305760955491,-0.1910377626440581,8.82980806272775
WMT,10,V2 Attention,0.9160994749701219,-2.4908841288949657,-0.4163623915851407,8.82980806272775
WMT,10,V2 No-Attention,0.9077796249268926,0.0,0.0,8.82980806272775
WMT,20,V1 Price-Only,0.8752429005632016,0.14373916831003086,0.16527072319610056,9.238280294040745
WMT,20,V1 Baseline,0.7729581003840749,-0.6416422431201996,-1.233680389257226,9.238280294040745
WMT,20,V2 Attention,0.9173405552752791,5.9255616301977065,0.9140107846808061,9.238280294040745
WMT,20,V2 No-Attention,0.8961635796497883,1.46979607149329,0.9886703011712217,9.238280294040745
